arrival_HYBAS_ID,n_trajectories,first_date,last_date,display_name
6060089950,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060089950 | Pfaf 615505 | 17 km²
6060090230,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060090230 | Pfaf 615506 | 18959 km²
6060090290,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060090290 | Pfaf 615507 | 7065 km²
6060093530,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060093530 | Pfaf 615202 | 38035 km²
6060094680,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060094680 | Pfaf 616224 | 6590 km²
6060094760,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060094760 | Pfaf 616225 | 8505 km²
6060094950,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060094950 | Pfaf 612093 | 5889 km²
6060094960,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060094960 | Pfaf 612092 | 6646 km²
6060095530,2190,2023-01-01,2023-12-31,HydroBASINS L6 6060095530 | Pfaf 616229 | 9043 km²
6060095580,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060095580 | Pfaf 616228 | 11989 km²
6060095840,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060095840 | Pfaf 616227 | 66 km²
6060095920,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060095920 | Pfaf 616226 | 4842 km²
6060096010,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060096010 | Pfaf 615508 | 11604 km²
6060096020,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060096020 | Pfaf 615509 | 6840 km²
6060097370,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060097370 | Pfaf 615344 | 4310 km²
6060097380,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060097380 | Pfaf 615345 | 3429 km²
6060099810,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060099810 | Pfaf 616223 | 12352 km²
6060099880,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060099880 | Pfaf 616222 | 31704 km²
6060101170,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060101170 | Pfaf 615204 | 6824 km²
6060101210,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060101210 | Pfaf 615205 | 9425 km²
6060102080,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060102080 | Pfaf 612094 | 5688 km²
6060102120,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060102120 | Pfaf 612095 | 21528 km²
6060102250,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060102250 | Pfaf 615610 | 8480 km²
6060102330,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060102330 | Pfaf 615701 | 16510 km²
6060102920,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060102920 | Pfaf 615347 | 790 km²
6060102930,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060102930 | Pfaf 615346 | 2980 km²
6060104180,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060104180 | Pfaf 615620 | 21148 km²
6060104230,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060104230 | Pfaf 615631 | 6288 km²
6060105580,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060105580 | Pfaf 615348 | 11073 km²
6060105620,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060105620 | Pfaf 615349 | 13672 km²
6060107870,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060107870 | Pfaf 612046 | 1848 km²
6060107990,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060107990 | Pfaf 612047 | 6332 km²
6060111430,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060111430 | Pfaf 615632 | 2904 km²
6060111530,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060111530 | Pfaf 615633 | 426 km²
6060112920,2190,2023-01-01,2023-12-31,HydroBASINS L6 6060112920 | Pfaf 615634 | 3891 km²
6060113570,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060113570 | Pfaf 616240 | 6842 km²
6060113870,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060113870 | Pfaf 615702 | 20156 km²
6060113940,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060113940 | Pfaf 615703 | 103 km²
6060115330,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060115330 | Pfaf 615704 | 10312 km²
6060115340,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060115340 | Pfaf 615705 | 881 km²
6060117110,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060117110 | Pfaf 615636 | 2688 km²
6060117150,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060117150 | Pfaf 615637 | 7256 km²
6060117780,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060117780 | Pfaf 615828 | 8131 km²
6060117840,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060117840 | Pfaf 615829 | 10038 km²
6060118140,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060118140 | Pfaf 615706 | 13917 km²
6060118200,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060118200 | Pfaf 615707 | 80 km²
6060118700,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060118700 | Pfaf 615826 | 4201 km²
6060118710,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060118710 | Pfaf 615827 | 1598 km²
6060120030,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060120030 | Pfaf 615708 | 27622 km²
6060120040,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060120040 | Pfaf 615709 | 10254 km²
6060120320,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060120320 | Pfaf 615208 | 4263 km²
6060120370,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060120370 | Pfaf 615209 | 11314 km²
6060122060,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060122060 | Pfaf 612049 | 17463 km²
6060122070,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060122070 | Pfaf 612048 | 2752 km²
6060123500,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060123500 | Pfaf 615206 | 5518 km²
6060123510,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060123510 | Pfaf 615207 | 2726 km²
6060124240,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060124240 | Pfaf 615638 | 4652 km²
6060124370,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060124370 | Pfaf 615639 | 2269 km²
6060126730,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060126730 | Pfaf 615640 | 5202 km²
6060126850,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060126850 | Pfaf 615650 | 507 km²
6060129490,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060129490 | Pfaf 615825 | 2861 km²
6060129500,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060129500 | Pfaf 615824 | 4739 km²
6060129600,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060129600 | Pfaf 615670 | 7737 km²
6060129810,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060129810 | Pfaf 615660 | 10052 km²
6060130490,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060130490 | Pfaf 615680 | 8800 km²
6060130600,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060130600 | Pfaf 615690 | 14630 km²
6060130930,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060130930 | Pfaf 612096 | 5905 km²
6060131030,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060131030 | Pfaf 612097 | 4208 km²
6060132160,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060132160 | Pfaf 615823 | 2081 km²
6060132240,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060132240 | Pfaf 615822 | 2405 km²
6060134450,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060134450 | Pfaf 615910 | 12 km²
6060134460,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060134460 | Pfaf 615810 | 2265 km²
6060134790,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060134790 | Pfaf 615920 | 12532 km²
6060134890,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060134890 | Pfaf 615930 | 364 km²
6060136040,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060136040 | Pfaf 612098 | 10045 km²
6060136120,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060136120 | Pfaf 612099 | 26058 km²
6060136450,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060136450 | Pfaf 615821 | 4806 km²
6060136480,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060136480 | Pfaf 615830 | 10747 km²
6060137270,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060137270 | Pfaf 615950 | 13041 km²
6060137380,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060137380 | Pfaf 615941 | 1601 km²
6060140960,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060140960 | Pfaf 615942 | 5596 km²
6060140970,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060140970 | Pfaf 615943 | 7464 km²
6060143380,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060143380 | Pfaf 615960 | 9222 km²
6060143540,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060143540 | Pfaf 615970 | 26637 km²
6060150580,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060150580 | Pfaf 615840 | 6205 km²
6060150590,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060150590 | Pfaf 615850 | 4055 km²
6060152600,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060152600 | Pfaf 622849 | 49818 km²
6060152610,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060152610 | Pfaf 622848 | 42387 km²
6060153610,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060153610 | Pfaf 615944 | 2751 km²
6060153670,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060153670 | Pfaf 615945 | 8320 km²
6060154590,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060154590 | Pfaf 615860 | 9986 km²
6060154700,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060154700 | Pfaf 615870 | 150 km²
